Site_Type,Site_Type_Label,Primary_Function
"AQDCT","Aqueduct","Economic"
"BRDGE","Bridge","Transportation"
"CAMP","Camp Site","Habitation"
"CAVE","Cave","Unknown"
"CMTRY","Cemetery or Other Burial Area","Ideological"
"CRNS","Cairns","Unknown"
"CSTRN","Cistern","Economic"
"CTDL","Citadel","Ideological"
"CVNSARY","Caravansary","Transportation"
"DAM","Dam","Economic"
"DM_CLST","Domestic Cluster","Habitation"
"ENCL","Enclosure","Economic"
"FARM","Farm or House","Habitation"
"FCTRY","Factory or manufacturing","Economic"
"FNCE","Fence","Economic"
"GRND","Grinding Facility","Economic"
"HMLT","Hamlet","Habitation"
"HRMTG","Hermitage","Ideological"
"LTH_SCAT","Lithic Scatter","Habitation"
"MILL","Mill","Economic"
"MLE_STN","Milestone","Transportation"
"MND","Mound","Unknown"
"MSQUE","Mosque","Ideological"
"OTHER","Other","Unknown"
"PGLPH","Petroglyph","Ideological"
"PLTFRM","Platform","Unknown"
"QRRY","Quarry","Economic"
"QSR_FRT","Qsar or Fort","Military"
"RCK_AL","Rock Alignment","Unknown"
"RCK_SH","Rock Shelter","Habitation"
"ROAD","Road","Transportation"
"SHD_SCAT","Sherd Scatter","Habitation"
"STN_CIR","Stone Circle","Ideological"
"STN_PLS","Stone Piles","Unknown"
"STR_CPLX","Structure Complex","Unknown"
"STRCT","Undifferentiated structure","Unknown"
"TERR","Agricultural Terrace or Check Dam","Economic"
"TMPL","Temple or Temple Complex","Ideological"
"TOMB","Tomb (not tower)","Ideological"
"TOWN","Town or City","Habitation"
"TWR","Tower","Military"
"VLLG","Village","Habitation"
"WELL","Well","Economic"
"WLLS","Undifferentiated Walls","Unknown"
