order,Temporal_Code,Temporal_Periods
1,"PL","Paleolithic"
2,"LP","Lower Paleolithic"
3,"LMP","Lower/Middle Paleolithic"
4,"MP","Middle Paleolithic"
5,"MPL_UPL","Middle/Upper Paleolithic"
6,"UP","Upper Paleolithic"
7,"UPL_EPL","Upper/Epipaleolithic"
8,"EPL","Epipaleolithic"
9,"EPL_PPN","Epipaleolithic/Pre-pottery Neolithic"
10,"PPN","Pre-pottery Neolithic"
11,"PN","Pottery Neolithic"
12,"Chal","Chalcolithic"
13,"Ch_EB","Chalco/Early Bronze Age"
14,"BA","Bronze Age"
15,"EB","Early Bronze Age"
16,"EBI","Early Bronze I"
17,"EBII","Early Bronze II"
18,"EBIII","Early Bronze III"
19,"EBIV","Early Bronze IV"
20,"MB","Middle Bronze Age"
21,"MBI","Middle Bronze I"
22,"MBII","Middle Bronze II"
23,"MBIII","Middle Bronze III"
24,"MBIV","Middle Bronze IV"
25,"M_LB","Middle/Late Bronze Age"
26,"LB","Late Bronze Age"
27,"LBI","Late Bronze I"
28,"LBII","Late Bronze II"
29,"LB_IA","Late Bronze/Iron Age"
30,"IA","Iron Age"
31,"IAI","Iron Age I"
32,"IAII","Iron Age II"
33,"Per","Persian"
34,"Hell","Hellenistic"
35,"Hell_ER","Hellenistic/Early Roman"
36,"Nab","Nabatean"
37,"Nab_Ro","Nabatean/Roman"
38,"Rom","Roman"
39,"L_Rom","Late Roman"
40,"Par","Parthian"
41,"Ro_Byz","Roman/Byzantine"
42,"Byz","Byzantine"
43,"L_Byz","Late Byzantine"
44,"Byz_E_Is","Byzantine/Early Islamic"
45,"L_Byz/E_Isl","Late Byzantine/Early Islamic"
46,"Byz_Um","Byzantine Ummayad"
47,"Byz_Mam","Byzantine/Mamluk"
48,"Islm","Islamic"
49,"E_Isl","Early Islamic"
50,"Umm","Ummayad"
51,"Abbas","Abbasid"
52,"Abb/Fat","Abbasid/Fatimid"
53,"Fat","Fatimid"
54,"Ay_Mam","Ayyubid/Mamluk"
55,"Mam","Mamluk"
56,"L_Isl","Late Islamic"
57,"Ott","Ottoman"
58,"L_Ott","Late Ottoman"
59,"Ott_Mod","Ottoman/Modern"
60,"Mod","Modern"
61,"Unk","Unknown"
62,"Late","Late Lithics"
63,"PN_Lith","Pottery Neolithic Lithics"
64,"CH_Lith","Chalcolithic Lithics"
